Grupo;Item;Etapa/Servico;Descricao/Composicao;Unidade;Quantidade;Preco_unitario_BRL;Total_BRL
E - Pedras, escada e itens especiais;22c;Piscina, SPA, sauna e deck;Sauna;vb;1;30000;30000
E - Pedras, escada e itens especiais;22d;Piscina, SPA, sauna e deck;Casa de maquinas/filtragem e complementos;vb;1;25000;25000
E - Pedras, escada e itens especiais;23;Lareiras e churrasqueira;3 lareiras concreto aparente + refratario; churrasqueira bloco basalto rustico + refratario;vb;1;180000;180000
F - Complementares;24;Paisagismo, muros e urbanizacao;Muros de pedra, rampa de veiculos, paisagismo basico, urbanizacao;vb;1;300000;300000
F - Complementares;25;Limpeza final e entrega;Limpeza geral, testes de instalacoes, entrega da obra;vb;1;60000;60000
RESUMO;;Custo direto de obra;Soma das etapas 01-25;;;;9910000
RESUMO;;Administracao local e mobilizacao;Equipe tecnica, encargos, operacao de canteiro (~20-24 meses) ~8,6%;;;;850000
RESUMO;;Subtotal obra;Custo direto + administracao local;;;;10760000
RESUMO;;Contingencia / reserva tecnica;~5% sobre subtotal;;;;540000
RESUMO;;TOTAL GERAL ESTIMADO;Custo de obra estimado (sem terreno, projetos, marcenaria, mobiliario, BDI de construtora);;;;11300000
